web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641926863-843","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","OMB INFORMATIQUE","https://fr.kompass.com/c/omb-informatique/fra068vgn/","OMB INFORMATIQUE","1251 RUE LEON FOUCAULT 

	                ZI DE LA SPHERE","1251 RUE LEON FOUCAULT 

	                ZI DE LA SPHERE 

	                
	        14200 HEROUVILLE-SAINT-CLAIR","null","2020","SAS, société par actions simplifiée","null","La compagnie OMB INFORMATIQUE, est installée au 1251 RUE LEON FOUCAULT à Herouville-saint-clair (14200) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2020 sous le numéro 880878798 00011, recensée sous le naf : 

► Programmation informatique.



La société OMB INFORMATIQUE est dirigée par Arnaud Vassard (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926857-841","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","M ULYSSE RODTS","https://fr.kompass.com/c/m-ulysse-rodts/fra07bg64/","M ULYSSE RODTS","23 RUE DES BEGONIAS","23 RUE DES BEGONIAS 

	                
	        14100 OUILLY-LE-VICOMTE","null","2021","Profession libérale","Non renseigné","M ULYSSE RODTS, est installé au 23 RUE DES BEGONIAS à Ouilly-le-vicomte (14100) dans le département du Calvados.



Cette société est une profession libérale fondée en 2021(SIRET : 892664103 00017), recensée sous le naf : 

► Traitement de données, hébergement et activités connexes.","Traitement de données, hébergement et activités connexes (6311Z)
				Voir la classification Kompass"
"1641926713-793","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","NORM3D","https://fr.kompass.com/c/norm3d/fra0754hq/","NORM3D","2 RUE JEAN PERRIN","2 RUE JEAN PERRIN 

	                
	        14460 COLOMBELLES","null","2020","SAS, société par actions simplifiée","null","La société NORM3D, est installée au 2 RUE JEAN PERRIN à Colombelles (14460) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2020 sous le numéro 890786817 00019, recensée sous le naf : 

► Programmation informatique.



La société NORM3D est dirigée par François Lozes (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926626-764","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","RESSOURCES BIEN ETRE","https://fr.kompass.com/c/ressources-bien-etre/fra0567mm/","RESSOURCES BIEN ETRE","32 AV DE LA LIBERTE","32 AV DE LA LIBERTE 

	                
	        14460 COLOMBELLES","null","2019","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise RESSOURCES BIEN ETRE, est localisée au 32 AV DE LA LIBERTE à Colombelles (14460) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2019 sous l'enregistrement 848471322 00026, recensée sous le naf : 

► Programmation informatique.



La société RESSOURCES BIEN ETRE est dirigée par Jean-Luc Ryckeboer (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926731-799","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","COREM DEVELOPMENT","https://fr.kompass.com/c/corem-development/fra05sn21/","COREM DEVELOPMENT","11 ALL BARBEY D'AUREVILLY","11 ALL BARBEY D'AUREVILLY 

	                
	        14440 DOUVRES-LA-DELIVRANDE","null","2019","SAS, société par actions simplifiée","De 0 à 9 employés","La société COREM DEVELOPMENT, est localisée au 11 ALL BARBEY D'AUREVILLY à Douvres-la-delivrande (14440) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 sous le numéro 877575688 00016, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société COREM DEVELOPMENT est dirigée par Corentin Remaud (Président)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641926803-823","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","MME ELLIE FEE","https://fr.kompass.com/c/mme-ellie-fee/fra064mxx/","MME ELLIE FEE","4 PRO DES SQUARES 

	                APPARTEMENT 42","4 PRO DES SQUARES 

	                APPARTEMENT 42 

	                
	        14200 HEROUVILLE-SAINT-CLAIR","null","2010","Profession libérale","null","MME ELLIE FEE, est installée au 4 PRO DES SQUARES à Herouville-saint-clair (14200) dans le département du Calvados.



Cette société est une profession libérale fondée en 2010 sous le numéro 528301088 00035, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926749-805","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","M JEAN MICHEL BRISSET","https://fr.kompass.com/c/m-jean-michel-brisset/fra05qbhg/","M JEAN MICHEL BRISSET","56 RUE MARECHAL GALLIENI","56 RUE MARECHAL GALLIENI 

	                
	        14000 CAEN","null","2010","Profession libérale","De 0 à 9 employés","M JEAN MICHEL BRISSET, est installé au 56 RUE MARECHAL GALLIENI à Caen (14000) dans le département du Calvados.



Cette société est une profession libérale fondée en 2010 ayant comme SIRET le numéro 525204152 00033, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926767-811","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","M FLORIAN MARIE","https://fr.kompass.com/c/m-florian-marie/fra06fjp5/","M FLORIAN MARIE","47 RUE DE BRAS","47 RUE DE BRAS 

	                
	        14000 CAEN","null","2020","Profession libérale","null","M FLORIAN MARIE, est installé au 47 RUE DE BRAS à Caen (14000) dans le département du Calvados.



Cette société est une profession libérale fondée en 2020 sous l'enregistrement 882623036 00010, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926758-808","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","BRAS NET APP API","https://fr.kompass.com/c/bras-net-app-api/fra05xltc/","BRAS NET APP API","22 B RUE DE L'EGLISE","22 B RUE DE L'EGLISE 

	                
	        14190 GRAINVILLE-LANGANNERIE","null","2019","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise BRAS NET APP API, est implantée au 22 B RUE DE L'EGLISE à Grainville-langannerie (14190) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 sous l'enregistrement 852125921 00019, recensée sous le naf : 

► Programmation informatique.



La société BRAS NET APP API est dirigée par Miguel Bras (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641926779-815","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-4/","E-AGENCY","https://fr.kompass.com/c/e-agency/fra05ltmw/","E-AGENCY","28 RUE DES COTEAUX","28 RUE DES COTEAUX 

	                
	        14760 BRETTEVILLE-SUR-ODON","null","2019","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","La société E-AGENCY, est localisée au 28 RUE DES COTEAUX à Bretteville-sur-odon (14760) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2019 sous le numéro 852300946 00013, recensée sous le naf : 

► Programmation informatique.



La société E-AGENCY est dirigée par Baptiste Lecaudey (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
