web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641931058-1268","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","SARL CARNET D ADRESSES","https://fr.kompass.com/c/sarl-carnet-d-adresses/fr0832363/","SARL CARNET D ADRESSES","136 BD MARECHAL LECLERC","136 BD MARECHAL LECLERC 

	                
	        14000 CAEN","null","2000","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","La compagnie SARL CARNET D ADRESSES, est implantée au 136 BD MARECHAL LECLERC à Caen (14000) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2000 sous le numéro 430264036 00012, recensée sous le naf : 

► Traitement de données, hébergement et activités connexes.



La société SARL CARNET D ADRESSES est dirigée par Françoise Lazard (Gérant)","Traitement de données, hébergement et activités connexes (6311Z)
				Voir la classification Kompass"
"1641931082-1276","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","SOC ORGANI FOIRES ET SALON PAYS D'AUGE","https://fr.kompass.com/c/soc-organi-foires-et-salon-pays-d-auge/fr9113401/","SOC ORGANI FOIRES ET SALON PAYS D'AUGE","11 RUE D ALENCON","11 RUE D ALENCON 

	                
	        14100 LISIEUX","null","1988","Association déclarée","De 0 à 9 employés","L'Association SOC ORGANI FOIRES ET SALON PAYS D'AUGE est localisée au 11 RUE D ALENCON à Lisieux (14100) dans le département du Calvados.



Cette association loi 1901 ou assimilé fondée en 1988 ayant comme SIRET le numéro 780745188 00026, recensée sous le naf : 

► Traitement de données, hébergement et activités connexes.



Cette association est dirigée par Jean BASTIDES (Président)","Traitement de données, hébergement et activités connexes (6311Z)
				Voir la classification Kompass"
"1641931196-1314","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","WORK AND WEB, W+W","https://fr.kompass.com/c/work-and-web/fra01ltrw/","WORK AND WEB","12 RUE DES ERABLES","12 RUE DES ERABLES 

	                
	        14210 SAINTE-HONORINE-DU-FAY","null","2016","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise WORK AND WEB(W+W), est localisée au 12 RUE DES ERABLES à Sainte-honorine-du-fay (14210) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2016 ayant comme SIRET le numéro 818037335 00010, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société WORK AND WEB est dirigée par Pierre Tellier (Gérant)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931187-1311","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","CREATIVE SILVER","https://fr.kompass.com/c/creative-silver/fr5274587/","CREATIVE SILVER","17 T RTE DE BASLY","17 T RTE DE BASLY 

	                
	        14440 DOUVRES-LA-DELIVRANDE","null","2008","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise CREATIVE SILVER, est localisée au 17 T RTE DE BASLY à Douvres-la-delivrande (14440) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2008 sous l'enregistrement 501801831 00022, recensée sous le naf : 

► Programmation informatique.



La société CREATIVE SILVER est dirigée par Jean-Baptiste Joly (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931142-1296","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","URBANESCENCE","https://fr.kompass.com/c/urbanescence/fr1030481/","URBANESCENCE","LD CAUMONT 

	                ROUTE DE FAUGUERNON","LD CAUMONT 

	                ROUTE DE FAUGUERNON 

	                
	        14100 ROCQUES","null","2006","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise URBANESCENCE, est implantée à Rocques (LD CAUMONT) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2006 sous l'enregistrement 492213657 00041, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société URBANESCENCE est dirigée par Soizic Loison (Gérant)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931238-1328","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","NJM INFORMATIQUE","https://fr.kompass.com/c/njm-informatique/fr3828632/","NJM INFORMATIQUE","4 RUE HENRY DE MONTHERLANT","4 RUE HENRY DE MONTHERLANT 

	                
	        14123 IFS","null","2005","SAS, société par actions simplifiée","De 0 à 9 employés","La compagnie NJM INFORMATIQUE, est localisée au 4 RUE HENRY DE MONTHERLANT à Ifs (14123) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2005 ayant comme SIRET le numéro 482946621 00034, recensée sous le naf : 

► Traitement de données, hébergement et activités connexes.



La société NJM INFORMATIQUE est dirigée par Jean-Marie Nouet (Gérant)","Traitement de données, hébergement et activités connexes (6311Z)
				Voir la classification Kompass"
"1641931163-1303","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","M DIMITRI FERON","https://fr.kompass.com/c/m-dimitri-feron/fr5846988/","M DIMITRI FERON","LA CROIX ROUGE","LA CROIX ROUGE 

	                
	        14590 MOYAUX","http://www.anotherview.fr","2008","Profession libérale","De 0 à 9 employés","M DIMITRI FERON, est installé à Moyaux (LA CROIX ROUGE) dans le département du Calvados.



Cette société est une profession libérale fondée en 2008 sous l'enregistrement 505000091 00023, recensée sous le naf : 

► Gestion d'installations informatiques.","Gestion d'installations informatiques (6203Z)
				Voir la classification Kompass"
"1641931184-1310","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","AMBLING","https://fr.kompass.com/c/ambling/fra02t966/","AMBLING","17 RUE CLAUDE BLOCH","17 RUE CLAUDE BLOCH 

	                
	        14000 CAEN","null","2017","SAS, société par actions simplifiée","De 0 à 9 employés","La compagnie AMBLING, est installée au 17 RUE CLAUDE BLOCH à Caen (14000) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2017(SIRET : 830763769 00015), recensée sous le naf : 

► Programmation informatique.



La société AMBLING est dirigée par Edouard Barbazange (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641931007-1251","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","M DANIEL JEANPIERRE","https://fr.kompass.com/c/m-daniel-jeanpierre/fr9492217/","M DANIEL JEANPIERRE","2065 RTE TOURVILLE EN AUGE","2065 RTE TOURVILLE EN AUGE 

	                
	        14130 SAINT-MARTIN-AUX-CHARTRAINS","null","2012","Profession libérale","De 0 à 9 employés","M DANIEL JEANPIERRE, est installé au 2065 RTE TOURVILLE EN AUGE à Saint-martin-aux-chartrains (14130) dans le département du Calvados.



Cette société est une profession libérale fondée en 2012 sous l'enregistrement 752605188 00024, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641931145-1297","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-10/","M PASCAL BEUNON (ADIC INFO)","https://fr.kompass.com/c/m-pascal-beunon/fr0983084/","M PASCAL BEUNON
                                    ADIC INFO","19 CHE DES OISEAUX 

	                PONT-EREMBOURG","19 CHE DES OISEAUX 

	                PONT-EREMBOURG 

	                
	        14110 SAINT-DENIS-DE-MERE","http://www.grandsgites.com","2004","Profession libérale","De 0 à 9 employés","M PASCAL BEUNON, est installé au 19 CHE DES OISEAUX à Saint-denis-de-mere (14110) dans le département du Calvados.



Cette société est une profession libérale fondée en 2004 sous le numéro 453180028 00046, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
