web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641929913-1017","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","SYSTENIUM","https://fr.kompass.com/c/systenium/fr3146512/","SYSTENIUM","210 RUE DE L AVENIR","210 RUE DE L AVENIR 

	                
	        14790 VERSON","null","2001","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise SYSTENIUM, est implantée au 210 RUE DE L AVENIR à Verson (14790) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2001 sous l'enregistrement 439693888 00026, recensée sous le naf : 

► Programmation informatique.



La société SYSTENIUM est dirigée par Miguel Lecrosnier (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641929904-1014","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","RECODIA","https://fr.kompass.com/c/recodia/fr5879489/","RECODIA","11 RUE DES COURSIERES","11 RUE DES COURSIERES 

	                
	        14280 SAINT-GERMAIN-LA-BLANCHE-HERBE","null","2008","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","L'entreprise RECODIA, est installée au 11 RUE DES COURSIERES à Saint-germain-la-blanche-herbe (14280) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2008 ayant comme SIRET le numéro 505180513 00010, recensée sous le naf : 

► Autres activités informatiques.



La société RECODIA est dirigée par Michel Horn (Gérant)","Autres activités informatiques (6209Z)
				Voir la classification Kompass"
"1641930021-1053","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M LAURENT HALLET","https://fr.kompass.com/c/m-laurent-hallet/fr0829480/","M LAURENT HALLET","7 RUE DU BOURG","7 RUE DU BOURG 

	                
	        14610 CAMBES-EN-PLAINE","null","2005","Profession libérale","De 0 à 9 employés","M LAURENT HALLET, est installé au 7 RUE DU BOURG à Cambes-en-plaine (14610) dans le département du Calvados.



Cette société est une profession libérale fondée en 2005 sous l'enregistrement 487740078 00034, recensée sous le naf : 

► Gestion d'installations informatiques.","Gestion d'installations informatiques (6203Z)
				Voir la classification Kompass"
"1641930099-1079","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M FRANCK BRIANDET","https://fr.kompass.com/c/m-franck-briandet/fra003z4s/","M FRANCK BRIANDET","25 AV DU MARECHAL FOCH 

	                RESIDENCE LA CARAVELLE","25 AV DU MARECHAL FOCH 

	                RESIDENCE LA CARAVELLE 

	                
	        14390 CABOURG","null","1985","Profession libérale","De 0 à 9 employés","M FRANCK BRIANDET, est installé au 25 AV DU MARECHAL FOCH à Cabourg (14390) dans le département du Calvados.



Cette société est une profession libérale fondée en 1985 sous le numéro 334118205 00031, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641930093-1077","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M BERNARD LEVANNIER","https://fr.kompass.com/c/m-bernard-levannier/fra00jpx8/","M BERNARD LEVANNIER","12 RUE GEORGES BRASSENS","12 RUE GEORGES BRASSENS 

	                
	        14370 ARGENCES","null","2010","Profession libérale","De 0 à 9 employés","M BERNARD LEVANNIER, est installé au 12 RUE GEORGES BRASSENS à Argences (14370) dans le département du Calvados.



Cette société est une profession libérale fondée en 2010 ayant comme SIRET le numéro 528416399 00012, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641930006-1048","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M ROMAIN DELAMARE","https://fr.kompass.com/c/m-romain-delamare/fra00my3x/","M ROMAIN DELAMARE","1 IMP DU GRAND PRE","1 IMP DU GRAND PRE 

	                
	        14630 FRENOUVILLE","null","2012","Profession libérale","De 0 à 9 employés","M ROMAIN DELAMARE, est installé au 1 IMP DU GRAND PRE à Frenouville (14630) dans le département du Calvados.



Cette société est une profession libérale fondée en 2012 sous l'enregistrement 539147645 00011, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641930096-1078","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","MIWEO","https://fr.kompass.com/c/miweo/fra01dbh1/","MIWEO","3 RUE KARL PROBST 

	                PARC D ACTIVITES DE LA FOLIE COUVRECHE","3 RUE KARL PROBST 

	                PARC D ACTIVITES DE LA FOLIE COUVRECHE 

	                
	        14000 CAEN","null","2015","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","La société MIWEO, est implantée au 3 RUE KARL PROBST à Caen (14000) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2015 sous le numéro 814260311 00034, recensée sous le naf : 

► Programmation informatique.



La société MIWEO est dirigée par Nicolas Cote (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641929946-1028","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","DOSCAAL","https://fr.kompass.com/c/doscaal/fra030bdg/","DOSCAAL","11 RUE MIREILLE","11 RUE MIREILLE 

	                
	        14000 CAEN","null","2017","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","La société DOSCAAL, est localisée au 11 RUE MIREILLE à Caen (14000) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2017 ayant comme SIRET le numéro 832518302 00019, recensée sous le naf : 

► Programmation informatique.



La société DOSCAAL est dirigée par Alexandre Moreau (Gérant)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641930003-1047","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M REMI HUBERT","https://fr.kompass.com/c/m-remi-hubert/fra00wp27/","M REMI HUBERT","32 CHE DE LA FORGE","32 CHE DE LA FORGE 

	                
	        14100 SAINT-MARTIN-DE-MAILLOC","null","2009","Profession libérale","De 0 à 9 employés","M REMI HUBERT, est installé au 32 CHE DE LA FORGE à Saint-martin-de-mailloc (14100) dans le département du Calvados.



Cette société est une profession libérale fondée en 2009 sous l'enregistrement 518207055 00030, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641929883-1007","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","SWAPBOOK","https://fr.kompass.com/c/swapbook/fra02vc36/","SWAPBOOK","17 RUE CLAUDE BLOCH","17 RUE CLAUDE BLOCH 

	                
	        14000 CAEN","null","2017","SAS, société par actions simplifiée","De 0 à 9 employés","La société SWAPBOOK, est implantée au 17 RUE CLAUDE BLOCH à Caen (14000) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2017 sous l'enregistrement 831129432 00017, recensée sous le naf : 

► Portails Internet.



La société SWAPBOOK est dirigée par Laure Desegaulx De Nolet (Président)","Portails Internet (6312Z)
				Voir la classification Kompass"
"1641930105-1081","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M WILLIAM CHANTEPIE","https://fr.kompass.com/c/m-william-chantepie/fra00fdpe/","M WILLIAM CHANTEPIE","77 AV MARECHAL FOCH","77 AV MARECHAL FOCH 

	                
	        14150 OUISTREHAM","null","2009","Profession libérale","De 0 à 9 employés","M WILLIAM CHANTEPIE, est installé au 77 AV MARECHAL FOCH à Ouistreham (14150) dans le département du Calvados.



Cette société est une profession libérale fondée en 2009(SIRET : 513230037 00014), recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641930009-1049","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M JULIEN ROGER","https://fr.kompass.com/c/m-julien-roger/fr1179577/","M JULIEN ROGER","1114 QUA DU GRAND PARC","1114 QUA DU GRAND PARC 

	                
	        14200 HEROUVILLE-SAINT-CLAIR","null","2013","Profession libérale","De 0 à 9 employés","M JULIEN ROGER, est installé au 1114 QUA DU GRAND PARC à Herouville-saint-clair (14200) dans le département du Calvados.



Cette société est une profession libérale fondée en 2013 ayant comme SIRET le numéro 798512455 00014, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641930036-1058","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","G2-INFO","https://fr.kompass.com/c/g2-info/fr3867732/","G2-INFO","53 AV DE LA CROSSE","53 AV DE LA CROSSE 

	                
	        14700 FALAISE","null","2014","Société à responsabilité limitée (sans autre indication)","De 0 à 9 employés","La compagnie G2-INFO, est localisée au 53 AV DE LA CROSSE à Falaise (14700) dans le département du Calvados.



Cette société est une société à responsabilité limitée (SARL) fondée en 2014 sous le numéro 801395252 00027, recensée sous le naf : 

► Réparation d'ordinateurs et d'équipements périphériques.



La société G2-INFO est dirigée par Gérald Lesourd (Gérant)","Réparation d'ordinateurs et d'équipements périphériques (9511Z)
				Voir la classification Kompass"
"1641929937-1025","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","SITEKOM","https://fr.kompass.com/c/sitekom/fra01zkwb/","SITEKOM","25 RUE HENRI SPRIET","25 RUE HENRI SPRIET 

	                
	        14120 MONDEVILLE","null","2016","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise SITEKOM, est installée au 25 RUE HENRI SPRIET à Mondeville (14120) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2016 sous le numéro 821079068 00028, recensée sous le naf : 

► Programmation informatique.



La société SITEKOM est dirigée par Ludovic Avenel (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641930120-1086","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-7/","M SEBASTIEN MONTERISI","https://fr.kompass.com/c/m-sebastien-monterisi/fra00gnhw/","M SEBASTIEN MONTERISI","15 RUE DES BARENTINS","15 RUE DES BARENTINS 

	                
	        14840 DEMOUVILLE","null","2009","Profession libérale","De 0 à 9 employés","M SEBASTIEN MONTERISI, est installé au 15 RUE DES BARENTINS à Demouville (14840) dans le département du Calvados.



Cette société est une profession libérale fondée en 2009(SIRET : 518522206 00029), recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
