web-scraper-order,web-scraper-start-url,lien-fiche,lien-fiche-href,title,rue,adresse,web,creation,type,effectif,resume,activite-naf08
"1641928225-878","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","LILYLEARN","https://fr.kompass.com/c/lilylearn/fra0551lp/","LILYLEARN","102 B RUE DE L ARQUETTE","102 B RUE DE L ARQUETTE 

	                
	        14000 CAEN","null","2019","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise LILYLEARN, est implantée au 102 B RUE DE L ARQUETTE à Caen (14000) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 ayant comme SIRET le numéro 848088993 00011, recensée sous le naf : 

► Edition de logiciels outils de développement et de langages.



La société LILYLEARN est dirigée par Myriam Berge (Directeur général)","Edition de logiciels outils de développement et de langages (5829B)
				Voir la classification Kompass"
"1641928336-915","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","CESAME CONSULTING","https://fr.kompass.com/c/cesame-consulting/fra04ttk2/","CESAME CONSULTING","6 IMP DES DEUX VILLAGES","6 IMP DES DEUX VILLAGES 

	                
	        14610 COLOMBY-ANGUERNY","null","2018","SAS, société par actions simplifiée","De 0 à 9 employés","La compagnie CESAME CONSULTING, est localisée au 6 IMP DES DEUX VILLAGES à Colomby-anguerny (14610) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2018 sous le numéro 843136789 00024, recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.



La société CESAME CONSULTING est dirigée par Samy Chouial (Président)","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641928321-910","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","M TRISTAN TORNATORE","https://fr.kompass.com/c/m-tristan-tornatore/fra04wd1v/","M TRISTAN TORNATORE","142 RUE DES SOURCES","142 RUE DES SOURCES 

	                
	        14200 HEROUVILLE-SAINT-CLAIR","null","2016","Profession libérale","De 0 à 9 employés","M TRISTAN TORNATORE, est installé au 142 RUE DES SOURCES à Herouville-saint-clair (14200) dans le département du Calvados.



Cette société est une profession libérale fondée en 2016 sous l'enregistrement 821833225 00039, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641928258-889","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","MONSIEUR JEAN-MICHEL TARET","https://fr.kompass.com/c/monsieur-jean-michel-taret/fra04zkpg/","MONSIEUR JEAN-MICHEL TARET","1 RUE PERE ROBERT","1 RUE PERE ROBERT 

	                
	        14000 CAEN","null","2018","Profession libérale","De 0 à 9 employés","MONSIEUR JEAN-MICHEL TARET, est installé au 1 RUE PERE ROBERT à Caen (14000) dans le département du Calvados.



Cette société est une profession libérale fondée en 2018 sous l'enregistrement 844307314 00014, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641928126-845","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","BB BOX","https://fr.kompass.com/c/bb-box/fra03gm4m/","BB BOX","70 AV DE L HIPPODROME 

	                ESPACE GARDIN","70 AV DE L HIPPODROME 

	                ESPACE GARDIN 

	                
	        14000 CAEN","null","2017","SAS, société par actions simplifiée","De 0 à 9 employés","La société BB BOX, est localisée au 70 AV DE L HIPPODROME à Caen (14000) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2017(SIRET : 834310203 00015), recensée sous le naf : 

► Conseil en systèmes et logiciels informatiques.","Conseil en systèmes et logiciels informatiques (6202A)
				Voir la classification Kompass"
"1641928150-853","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","IMERSIV TECHNOLOGY","https://fr.kompass.com/c/imersiv-technology/fra04qhd6/","IMERSIV TECHNOLOGY","8 RTE DE TROUVILLE","8 RTE DE TROUVILLE 

	                
	        14510 HOULGATE","null","2018","SAS, société par actions simplifiée","De 0 à 9 employés","La société IMERSIV TECHNOLOGY, est implantée au 8 RTE DE TROUVILLE à Houlgate (14510) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2018 sous le numéro 842032104 00015, recensée sous le naf : 

► Programmation informatique.



La société IMERSIV TECHNOLOGY est dirigée par Fabrice Benachour (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641928189-866","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","M PIERRE LEROY","https://fr.kompass.com/c/m-pierre-leroy/fra03dfn6/","M PIERRE LEROY","LE BAGNIEUX","LE BAGNIEUX 

	                
	        14250 JUAYE-MONDAYE","null","2010","Profession libérale","De 0 à 9 employés","M PIERRE LEROY, est installé à Juaye-mondaye (LE BAGNIEUX) dans le département du Calvados.



Cette société est une profession libérale fondée en 2010 ayant comme SIRET le numéro 519873574 00023, recensée sous le naf : 

► Programmation informatique.","Programmation informatique (6201Z)
				Voir la classification Kompass"
"1641928237-882","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","MONSIEUR ROMAIN LAZE","https://fr.kompass.com/c/monsieur-romain-laze/fra04n8k3/","MONSIEUR ROMAIN LAZE","5 RUE EMMANUEL DESBIOT","5 RUE EMMANUEL DESBIOT 

	                
	        14000 CAEN","null","2018","Artisan-commerçant","De 0 à 9 employés","L'entreprise MONSIEUR ROMAIN LAZE, est localisée au 5 RUE EMMANUEL DESBIOT à Caen (14000) dans le département du Calvados.



Cet artisan-commerçant fondé en 2018 sous le numéro 841295439 00019, est recensé sous le naf : 

► Réparation d'ordinateurs et d'équipements périphériques.","Réparation d'ordinateurs et d'équipements périphériques (9511Z)
				Voir la classification Kompass"
"1641928201-870","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","AUGA MEDIA","https://fr.kompass.com/c/auga-media/fra057z83/","AUGA MEDIA","LA FAVRIE","LA FAVRIE 

	                
	        14380 SAINT-AUBIN-DES-BOIS","null","2019","SAS, société par actions simplifiée","De 0 à 9 employés","L'entreprise AUGA MEDIA, est installée à Saint-aubin-des-bois (LA FAVRIE) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2019 ayant comme SIRET le numéro 848988994 00028, recensée sous le naf : 

► Portails Internet.



La société AUGA MEDIA est dirigée par Jordan Goulhot (Gérant)","Portails Internet (6312Z)
				Voir la classification Kompass"
"1641928210-873","https://fr.kompass.com/a/informatique-et-internet/57/d/calvados/fr_25_14/page-5/","LIMMAO","https://fr.kompass.com/c/limmao/fra03cjf7/","LIMMAO","39 RUE DE L EGLISE","39 RUE DE L EGLISE 

	                
	        14000 CAEN","null","2017","SAS, société par actions simplifiée","De 0 à 9 employés","La société LIMMAO, est installée au 39 RUE DE L EGLISE à Caen (14000) dans le département du Calvados.



Cette société est une societé anonyme par actions simplifiées fondée en 2017 ayant comme SIRET le numéro 833261241 00024, recensée sous le naf : 

► Programmation informatique.



La société LIMMAO est dirigée par Jean-François Huet Des Aunay (Président)","Programmation informatique (6201Z)
				Voir la classification Kompass"
